timestamp,key,event_type,time_since_last_key
2025-11-02 16:08:33.035426,Key.shift,down,0
2025-11-02 16:08:33.222741,Key.shift,up,
2025-11-02 16:08:33.282355,Key.shift,down,246.936
2025-11-02 16:08:33.562441,E,down,280.116
2025-11-02 16:08:33.690080,E,up,
2025-11-02 16:08:33.710559,Key.shift,up,
2025-11-02 16:08:33.821274,m,down,258.825
2025-11-02 16:08:33.889691,i,down,68.412
2025-11-02 16:08:33.937612,m,up,
2025-11-02 16:08:33.997563,i,up,
2025-11-02 16:08:34.084262,l,down,194.546
2025-11-02 16:08:34.156411,y,down,72.17
2025-11-02 16:08:34.192244,l,up,
2025-11-02 16:08:34.269107,y,up,
2025-11-02 16:08:34.373203,Key.space,down,216.752
2025-11-02 16:08:34.490678,i,down,117.518
2025-11-02 16:08:34.518615,Key.space,up,
2025-11-02 16:08:34.557503,s,down,66.83
2025-11-02 16:08:34.576751,i,up,
2025-11-02 16:08:34.625912,Key.space,down,68.361
2025-11-02 16:08:34.667250,s,up,
2025-11-02 16:08:34.709342,m,down,83.477
2025-11-02 16:08:34.777812,Key.space,up,
2025-11-02 16:08:34.785424,m,up,
2025-11-02 16:08:34.891152,y,down,181.814
2025-11-02 16:08:34.963422,y,up,
2025-11-02 16:08:34.986712,Key.space,down,95.528
2025-11-02 16:08:35.055854,g,down,69.166
2025-11-02 16:08:35.111941,i,down,56.091
2025-11-02 16:08:35.115032,Key.space,up,
2025-11-02 16:08:35.155610,g,up,
2025-11-02 16:08:35.199931,i,up,
2025-11-02 16:08:35.233609,r,down,121.675
2025-11-02 16:08:35.286693,l,down,53.04
2025-11-02 16:08:35.326257,r,up,
2025-11-02 16:08:35.386829,l,up,
2025-11-02 16:08:35.401164,f,down,114.511
2025-11-02 16:08:35.470128,f,up,
2025-11-02 16:08:35.540069,r,down,138.907
2025-11-02 16:08:35.625013,r,up,
2025-11-02 16:08:35.652478,i,down,112.41
2025-11-02 16:08:35.733647,e,down,81.163
2025-11-02 16:08:35.748697,i,up,
2025-11-02 16:08:35.809773,n,down,76.126
2025-11-02 16:08:35.835799,e,up,
2025-11-02 16:08:35.921907,n,up,
2025-11-02 16:08:35.946859,d,down,137.09
2025-11-02 16:08:36.055682,Key.space,down,108.768
2025-11-02 16:08:36.090978,d,up,
2025-11-02 16:08:36.235488,Key.space,up,
2025-11-02 16:08:36.270105,s,down,214.472
2025-11-02 16:08:36.374600,s,up,
2025-11-02 16:08:36.386748,h,down,116.644
2025-11-02 16:08:36.462622,e,down,75.874
2025-11-02 16:08:36.470022,h,up,
2025-11-02 16:08:36.526036,Key.space,down,63.381
2025-11-02 16:08:36.570341,e,up,
2025-11-02 16:08:36.589670,i,down,63.674
2025-11-02 16:08:36.670811,Key.space,up,
2025-11-02 16:08:36.674200,i,up,
2025-11-02 16:08:36.707856,s,down,118.185
2025-11-02 16:08:36.800549,Key.space,down,92.643
2025-11-02 16:08:36.836011,s,up,
2025-11-02 16:08:36.924607,Key.space,up,
